src,prediction,gt
"At high temperatures, all the ceramic materials show ductility and hardness decreases considerably, leading to a higher risk of deformation under load.","उच्च तापमानावर, सर्व सिरॅमिक साहित्य लवचिकता दाखवतात आणि कडकपणा लक्षणीयरीत्या कमी होतो, ज्यामुळे लोडखाली विरूपणाचा धोका वाढतो.","उच्च तापमानावर, सर्व सिरामिक साहित्ये तन्यता दर्शवतात आणि कडकपणा मोठ्या प्रमाणात कमी होतो, ज्यामुळे भाराखाली विरूपणाचा धोका वाढतो."
"This produces hard copy that can be retained but printed sheets are bulky to handle, so digital storage and viewing are often preferred.","हे हार्ड कॉपी तयार करते, जी ठेवता येते, परंतु मुद्रित पत्रके हाताळण्यासाठी मोठी असतात, त्यामुळे डिजिटल संग्रहण आणि पाहणी पसंत केली जाते.","यामुळे जतन करता येणारी हार्ड कॉपी तयार होते, पण छापलेली पाने हाताळण्यास जाडजूड असल्याने, डिजिटल साठवण आणि पाहण्याला अनेकदा प्राधान्य दिले जाते."
Connection to PTT-supplied packet-switch networks will be a prime requirement of the workstation and gateways into these networks are planned by the PTTs to ensure seamless data communication.,"PTT-पुरवलेल्या पॅकेट-स्विच नेटवर्कशी कनेक्शन हा वर्कस्टेशनसाठी मुख्य आवश्यकता असेल आणि PTT या नेटवर्क्समध्ये गेटवे नियोजित करतात, जेणेकरून अखंड डेटा संप्रेषण सुनिश्चित होईल.",पीटीटीने पुरवलेल्या पॅकेट-स्विच नेटवर्कशी जोडणी ही वर्कस्टेशनची प्रमुख आवश्यकता असेल आणि अखंड डेटा संवाद सुनिश्चित करण्यासाठी या नेटवर्कमध्ये प्रवेशासाठी गेटवे पीटीटीद्वारे नियोजित आहेत.
The system consistently achieved 50 gallons per hour optimum output.,प्रणाली सातत्याने 50 गॅलन प्रती तासाची सर्वोत्तम उत्पादन क्षमता गाठली.,प्रणालीने सातत्याने दर तासाला ५० गॅलन – इष्टतम उत्पादन – गाठले.
percentage reduction is critical: over and under reduction cause the ink to be very uneven and prone to smudging.,टक्केवारीत कपात महत्त्वाची आहे: जास्त किंवा कमी कपातमुळे शाई खूप असमान होते आणि डाग पडण्याची शक्यता वाढते.,टक्केवारीतील घट निर्णायक आहे: जास्त घट आणि कमी घट यांमुळे शाई खूपच असमान होते आणि सहज डाग पडण्याची शक्यता असते.
Adopting a user-centered approach is a realistic strategy in the design of both paper and screen based forms.,वापरकर्त्यावरील दृष्टिकोन स्वीकारणे ही कागद आणि स्क्रीन आधारित फॉर्म डिझाइन करण्याची वास्तववादी रणनीती आहे.,"वापरकर्ता-केंद्रित दृष्टिकोन स्वीकारणे, कागदावर आधारित आणि स्क्रीनवर आधारित असलेल्या दोन्ही फॉर्म्सच्या डिझाइनमध्ये एक वास्तववादी रणनीती आहे."
Morphological studies of paraquat or oxygen toxicity in rats have shown significant cellular damage in lung tissue.,रॅट्समध्ये पॅराक्वाट किंवा ऑक्सिजन विषबाधेच्या रूपातील морफोलॉजिकल अभ्यासांनी फुफ्फुस ऊतकात महत्त्वपूर्ण पेशीक्षत झाले आहे.,उंदरांमधील पॅराक्वेट किंवा ऑक्सिजन विषारीपणाच्या रूपात्मक अभ्यासांनी फुफ्फुसाच्या ऊतीमध्ये लक्षणीय पेशींचे नुकसान दर्शविले आहे.
One should read G. V. Carey’s chapter Proof Correction in Mind the Stop.,G. V. Carey चॅप्टर ‘Proof Correction’ मध्ये ‘Mind the Stop’ वाचावे.,जी. व्ही. कॅरीचा 'माईंड द स्टॉप' मधील 'प्रूफ करेक्शन' हा अध्याय वाचला पाहिजे.
"The glass content of this material is low, 10% by weight, for this application.","या साहित्यातील काच प्रमाण कमी आहे, या अनुप्रयोगासाठी वजनाच्या दृष्टीने 10%.",या सामग्रीतील काचेचे प्रमाण (वजनानुसार १०%) या उपयोगासाठी कमी आहे.
"During the experiment, the animals will be fed with water, via an automatic system, ad libitum.","प्रयोगादरम्यान, प्राणी स्वयंचलित पद्धतीने पाण्याने, ‘अॅड लिबिटम’ दिले जातील.","प्रयोगादरम्यान, प्राण्यांना पाणी (स्वयंचलित प्रणालीद्वारे) इच्छेनुसार दिले जाईल."
a water:glycol ratio of 60:40 is preferred.,पाणी:ग्लायकोल प्रमाण 60:40 पसंतीस आहे.,६०/४० पाण्याचे/ग्लायकॉलचे प्रमाण पसंत केले जाते.
It has thickness of only 16:240 inch.,याची जाडी फक्त 16:240 इंच आहे.,त्याची जाडी फक्त १६/२४० इंच आहे.
